routes_id,latitude,longitude,central_park,routes_status_code,uber_pool_distance,uber_pool_duration,uber_pool_high_estimate,uber_pool_low_estimate,uber_x_distance,uber_x_duration,uber_x_high_estimate,uber_x_low_estimate
58,40.766,-73.9914,"(40.7829, -73.9654)",200.0,4.02,780.0,15.0,14.0,4.02,780.0,20.0,16.0
59,40.6888,-73.9522,"(40.7829, -73.9654)",200.0,12.48,2940.0,44.0,34.0,12.48,2940.0,45.0,36.0
60,40.7493,-73.7142,"(40.7829, -73.9654)",200.0,19.54,2880.0,66.0,52.0,19.54,2880.0,85.0,69.0
61,40.7892,-73.9705,"(40.7829, -73.9654)",200.0,0.64,240.0,10.0,8.0,0.64,240.0,9.0,7.0
62,40.7571,-73.9647,"(40.7829, -73.9654)",200.0,2.45,720.0,12.0,11.0,2.45,720.0,15.0,12.0
63,40.7299,-73.9819,"(40.7829, -73.9654)",200.0,6.19,1140.0,21.0,20.0,6.19,1140.0,29.0,22.0
64,40.7796,-73.9493,"(40.7829, -73.9654)",200.0,1.09,480.0,10.0,8.0,1.09,480.0,9.0,7.0
65,40.7459,-73.9564,"(40.7829, -73.9654)",200.0,4.82,1440.0,24.0,18.0,4.82,1440.0,29.0,22.0
66,40.7467,-73.9854,"(40.7829, -73.9654)",200.0,3.54,1320.0,17.0,16.0,3.54,1320.0,23.0,18.0
67,40.7619,-73.9854,"(40.7829, -73.9654)",200.0,2.4,840.0,12.0,11.0,2.4,840.0,17.0,13.0
68,40.7341,-73.9896,"(40.7829, -73.9654)",200.0,6.55,1680.0,24.0,23.0,6.55,1680.0,34.0,27.0
69,40.7413,-73.9779,"(40.7829, -73.9654)",200.0,6.08,960.0,19.0,18.0,6.08,960.0,27.0,21.0
70,40.7351,-73.9531,"(40.7829, -73.9654)",200.0,5.34,1500.0,20.0,15.0,5.34,1500.0,33.0,26.0
71,40.8028,-73.9648,"(40.7829, -73.9654)",200.0,2.04,540.0,10.0,9.0,2.04,540.0,13.0,10.0
72,40.7196,-74.0109,"(40.7829, -73.9654)",200.0,7.4,1740.0,26.0,25.0,7.4,1740.0,36.0,29.0
73,40.7777,-73.9532,"(40.7829, -73.9654)",200.0,0.77,360.0,10.0,8.0,0.77,360.0,9.0,7.0
74,40.7087,-74.0058,"(40.7829, -73.9654)",200.0,8.84,1680.0,28.0,27.0,8.84,1680.0,38.0,30.0
75,40.7924,-73.9741,"(40.7829, -73.9654)",200.0,1.01,360.0,10.0,8.0,1.01,360.0,9.0,6.0
76,40.7756,-73.9846,"(40.7829, -73.9654)",200.0,1.61,600.0,9.0,8.0,1.61,600.0,13.0,10.0
77,40.7054,-74.0095,"(40.7829, -73.9654)",200.0,9.65,1860.0,31.0,30.0,9.65,1860.0,40.0,32.0
78,40.7108,-73.8543,"(40.7829, -73.9654)",200.0,12.35,2520.0,44.0,34.0,12.35,2520.0,55.0,44.0
79,40.7802,-73.9444,"(40.7829, -73.9654)",200.0,1.78,540.0,9.0,8.0,1.78,540.0,13.0,10.0
80,40.664,-73.9342,"(40.7829, -73.9654)",200.0,14.68,3480.0,52.0,41.0,14.68,3480.0,54.0,43.0
81,40.7349,-73.9863,"(40.7829, -73.9654)",200.0,6.21,1020.0,20.0,19.0,6.21,1020.0,27.0,21.0
82,40.7617,-73.9626,"(40.7829, -73.9654)",200.0,2.08,600.0,10.0,9.0,2.08,600.0,14.0,10.0
83,40.8394,-73.9381,"(40.7829, -73.9654)",200.0,5.22,1140.0,15.0,10.0,5.22,1140.0,22.0,17.0
84,40.7931,-73.9715,"(40.7829, -73.9654)",200.0,1.01,360.0,10.0,8.0,1.01,360.0,9.0,6.0
85,40.7788,-73.9538,"(40.7829, -73.9654)",200.0,0.76,300.0,10.0,8.0,0.76,300.0,9.0,7.0
86,40.6578,-73.9259,"(40.7829, -73.9654)",200.0,21.53,3780.0,61.0,48.0,21.53,3780.0,63.0,51.0
87,40.769,-73.9541,"(40.7829, -73.9654)",200.0,1.75,600.0,10.0,9.0,1.75,600.0,13.0,10.0
88,40.6633,-73.9824,"(40.7829, -73.9654)",200.0,14.93,3060.0,38.0,30.0,14.93,3060.0,58.0,47.0
89,40.7762,-73.9592,"(40.7829, -73.9654)",200.0,1.01,360.0,10.0,8.0,1.01,360.0,9.0,7.0
90,40.7604,-73.9617,"(40.7829, -73.9654)",200.0,2.25,780.0,12.0,11.0,2.25,780.0,16.0,12.0
91,40.778,-73.9774,"(40.7829, -73.9654)",200.0,1.24,420.0,10.0,8.0,1.24,420.0,9.0,6.0
92,40.7801,-73.9803,"(40.7829, -73.9654)",200.0,1.19,420.0,10.0,8.0,1.19,420.0,9.0,6.0
93,40.7447,-74.0052,"(40.7829, -73.9654)",200.0,4.69,1560.0,20.0,19.0,4.69,1560.0,29.0,23.0
94,40.6896,-73.9982,"(40.7829, -73.9654)",200.0,10.98,2160.0,27.0,20.0,10.98,2160.0,46.0,37.0
95,40.7306,-73.8519,"(40.7829, -73.9654)",200.0,12.54,2460.0,43.0,34.0,12.54,2460.0,54.0,43.0
96,40.7318,-74.0016,"(40.7829, -73.9654)",200.0,5.75,1980.0,25.0,24.0,5.75,1980.0,36.0,28.0
97,40.7594,-73.9712,"(40.7829, -73.9654)",200.0,2.4,780.0,12.0,11.0,2.4,780.0,16.0,12.0
98,40.748,-73.9572,"(40.7829, -73.9654)",200.0,4.93,1500.0,24.0,18.0,4.93,1500.0,29.0,23.0
99,40.7681,-73.9858,"(40.7829, -73.9654)",200.0,1.92,540.0,10.0,9.0,1.92,540.0,13.0,10.0
100,40.624,-74.0312,"(40.7829, -73.9654)",200.0,16.47,3120.0,38.0,30.0,16.47,3120.0,57.0,46.0
101,40.7161,-73.9548,"(40.7829, -73.9654)",200.0,7.07,2160.0,23.0,17.0,7.07,2160.0,39.0,31.0
102,40.7676,-73.9577,"(40.7829, -73.9654)",200.0,1.62,600.0,9.0,8.0,1.62,600.0,13.0,10.0
103,40.7073,-74.0046,"(40.7829, -73.9654)",200.0,8.68,1560.0,27.0,26.0,8.68,1560.0,37.0,29.0
104,40.5946,-73.9617,"(40.7829, -73.9654)",200.0,18.3,3720.0,57.0,45.0,18.3,3720.0,77.0,62.0
105,40.7426,-73.979,"(40.7829, -73.9654)",200.0,5.33,960.0,18.0,17.0,5.33,960.0,25.0,19.0
106,40.7793,-73.9496,"(40.7829, -73.9654)",200.0,1.08,480.0,10.0,8.0,1.08,480.0,9.0,7.0
107,40.7216,-73.9423,"(40.7829, -73.9654)",200.0,6.67,1980.0,22.0,16.0,6.67,1980.0,36.0,28.0
108,40.7802,-73.9504,"(40.7829, -73.9654)",200.0,1.06,360.0,10.0,8.0,1.06,360.0,9.0,7.0
109,40.7128,-74.0059,"(40.7829, -73.9654)",200.0,8.86,1560.0,27.0,26.0,8.86,1560.0,36.0,28.0
110,40.7763,-73.9518,"(40.7829, -73.9654)",200.0,1.22,480.0,10.0,8.0,1.22,480.0,9.0,7.0
111,40.7676,-73.9813,"(40.7829, -73.9654)",200.0,1.66,540.0,9.0,8.0,1.66,540.0,13.0,9.0
112,40.5757,-73.9686,"(40.7829, -73.9654)",200.0,22.93,3720.0,55.0,43.0,22.93,3720.0,73.0,59.0
113,40.7777,-73.9883,"(40.7829, -73.9654)",200.0,1.96,660.0,10.0,9.0,1.96,660.0,14.0,10.0
114,40.8034,-73.9661,"(40.7829, -73.9654)",200.0,1.93,540.0,10.0,9.0,1.93,540.0,13.0,10.0
115,40.7133,-73.9395,"(40.7829, -73.9654)",200.0,7.13,2220.0,23.0,17.0,7.13,2220.0,38.0,30.0
116,40.8678,-73.9251,"(40.7829, -73.9654)",200.0,7.66,1560.0,18.0,13.0,7.66,1560.0,26.0,21.0
117,40.7592,-73.9903,"(40.7829, -73.9654)",200.0,2.48,780.0,12.0,11.0,2.48,780.0,16.0,12.0
118,40.7779,-73.9525,"(40.7829, -73.9654)",200.0,0.85,300.0,10.0,8.0,0.85,300.0,9.0,7.0
119,40.7064,-74.01,"(40.7829, -73.9654)",200.0,9.72,1740.0,30.0,29.0,9.72,1740.0,39.0,31.0
120,40.7108,-73.9878,"(40.7829, -73.9654)",200.0,7.66,1140.0,23.0,22.0,7.66,1140.0,30.0,24.0
121,40.7856,-73.9794,"(40.7829, -73.9654)",200.0,1.06,360.0,10.0,8.0,1.06,360.0,9.0,6.0
122,40.7281,-73.9812,"(40.7829, -73.9654)",200.0,6.38,1200.0,21.0,20.0,6.38,1200.0,29.0,23.0
123,40.7393,-73.9817,"(40.7829, -73.9654)",200.0,5.9,960.0,19.0,18.0,5.9,960.0,28.0,22.0
124,40.7736,-73.947,"(40.7829, -73.9654)",200.0,1.4,540.0,9.0,8.0,1.4,540.0,12.0,9.0
125,40.7633,-73.9628,"(40.7829, -73.9654)",200.0,1.92,540.0,10.0,9.0,1.92,540.0,14.0,10.0
126,40.7444,-73.9754,"(40.7829, -73.9654)",200.0,5.02,900.0,17.0,16.0,5.02,900.0,24.0,18.0
127,40.7796,-73.7804,"(40.7829, -73.9654)",200.0,14.61,2520.0,52.0,41.0,14.61,2520.0,72.0,58.0
128,40.7697,-73.9581,"(40.7829, -73.9654)",200.0,1.42,480.0,10.0,8.0,1.42,480.0,9.0,7.0
129,40.7075,-74.0113,"(40.7829, -73.9654)",200.0,9.81,1860.0,31.0,30.0,9.81,1860.0,41.0,32.0
130,40.7264,-73.9836,"(40.7829, -73.9654)",200.0,6.51,1200.0,21.0,20.0,6.51,1200.0,30.0,23.0
131,40.7947,-73.9667,"(40.7829, -73.9654)",200.0,1.06,300.0,10.0,8.0,1.06,300.0,9.0,6.0
132,40.7983,-73.9416,"(40.7829, -73.9654)",200.0,2.14,720.0,11.0,10.0,2.14,720.0,15.0,11.0
133,40.7481,-73.9748,"(40.7829, -73.9654)",200.0,4.95,1140.0,18.0,17.0,4.95,1140.0,25.0,20.0
134,40.7993,-73.9689,"(40.7829, -73.9654)",200.0,1.78,540.0,9.0,8.0,1.78,540.0,12.0,9.0
135,40.7694,-73.9603,"(40.7829, -73.9654)",200.0,1.38,480.0,10.0,8.0,1.38,480.0,9.0,6.0
136,40.7299,-73.9819,"(40.7829, -73.9654)",200.0,6.19,1020.0,20.0,19.0,6.19,1020.0,27.0,21.0
137,40.7751,-73.9481,"(40.7829, -73.9654)",200.0,1.23,480.0,10.0,8.0,1.23,480.0,9.0,7.0
138,40.7922,-73.9645,"(40.7829, -73.9654)",200.0,0.8,240.0,10.0,8.0,0.8,240.0,9.0,7.0
139,40.7366,-73.9934,"(40.7829, -73.9654)",200.0,6.76,1800.0,25.0,24.0,6.76,1800.0,35.0,28.0
140,40.6896,-73.9527,"(40.7829, -73.9654)",200.0,12.65,2940.0,44.0,34.0,12.65,2940.0,45.0,36.0
141,40.7324,-74.0081,"(40.7829, -73.9654)",200.0,5.53,1620.0,22.0,21.0,5.53,1620.0,32.0,25.0
142,40.7412,-73.9772,"(40.7829, -73.9654)",200.0,6.12,960.0,20.0,19.0,6.12,960.0,27.0,21.0
143,40.754,-73.9678,"(40.7829, -73.9654)",200.0,2.7,960.0,13.0,12.0,2.7,960.0,18.0,14.0
144,40.7382,-73.9965,"(40.7829, -73.9654)",200.0,5.5,1800.0,23.0,22.0,5.5,1800.0,32.0,25.0
145,40.764,-73.98,"(40.7829, -73.9654)",200.0,2.07,720.0,11.0,10.0,2.07,720.0,14.0,11.0
146,40.7401,-74.0039,"(40.7829, -73.9654)",200.0,4.87,1560.0,21.0,20.0,4.87,1560.0,29.0,23.0
147,40.7481,-73.9564,"(40.7829, -73.9654)",200.0,4.8,1380.0,23.0,17.0,4.8,1380.0,28.0,22.0
148,40.7723,-73.948,"(40.7829, -73.9654)",200.0,1.59,540.0,9.0,8.0,1.59,540.0,12.0,9.0
149,40.7681,-73.9527,"(40.7829, -73.9654)",200.0,1.67,540.0,9.0,8.0,1.67,540.0,12.0,9.0
150,40.7777,-73.9498,"(40.7829, -73.9654)",200.0,1.03,360.0,10.0,8.0,1.03,360.0,9.0,7.0
151,40.7951,-73.9676,"(40.7829, -73.9654)",200.0,1.34,420.0,10.0,8.0,1.34,420.0,9.0,6.0
152,40.6905,-73.9668,"(40.7829, -73.9654)",200.0,11.59,2640.0,31.0,24.0,11.59,2640.0,51.0,41.0
153,40.7612,-73.9978,"(40.7829, -73.9654)",200.0,3.3,780.0,13.0,12.0,3.3,780.0,18.0,14.0
154,40.7906,-73.9687,"(40.7829, -73.9654)",200.0,0.8,240.0,10.0,8.0,0.8,240.0,9.0,6.0
155,40.8666,-73.9217,"(40.7829, -73.9654)",200.0,7.85,1680.0,19.0,14.0,7.85,1680.0,27.0,21.0
156,40.7692,-73.9847,"(40.7829, -73.9654)",200.0,1.91,600.0,10.0,9.0,1.91,600.0,13.0,10.0
157,40.7075,-74.0059,"(40.7829, -73.9654)",200.0,8.78,1680.0,28.0,27.0,8.78,1680.0,38.0,30.0
158,40.6812,-73.9105,"(40.7829, -73.9654)",200.0,19.89,3060.0,45.0,35.0,19.89,3060.0,65.0,52.0
159,41.0412,-73.54,"(40.7829, -73.9654)",200.0,34.16,3300.0,79.0,64.0,34.16,3300.0,118.0,96.0
160,40.7634,-73.9596,"(40.7829, -73.9654)",200.0,2.0,660.0,10.0,9.0,2.0,660.0,15.0,11.0
161,40.7307,-73.9837,"(40.7829, -73.9654)",200.0,6.47,1560.0,23.0,22.0,6.47,1560.0,34.0,27.0
162,40.7242,-73.9878,"(40.7829, -73.9654)",200.0,6.62,1680.0,24.0,23.0,6.62,1680.0,34.0,27.0
163,40.7298,-73.9868,"(40.7829, -73.9654)",200.0,6.4,1560.0,23.0,22.0,6.4,1560.0,34.0,27.0
164,40.7658,-73.9781,"(40.7829, -73.9654)",200.0,2.14,600.0,10.0,9.0,2.14,600.0,14.0,10.0
165,40.7548,-73.9944,"(40.7829, -73.9654)",200.0,3.96,960.0,15.0,14.0,3.96,960.0,23.0,18.0
166,40.7437,-73.9585,"(40.7829, -73.9654)",200.0,4.93,1620.0,25.0,19.0,4.93,1620.0,31.0,24.0
167,40.7177,-73.9984,"(40.7829, -73.9654)",200.0,8.26,1800.0,28.0,27.0,8.26,1800.0,41.0,33.0
168,40.763,-73.9579,"(40.7829, -73.9654)",200.0,2.18,780.0,11.0,10.0,2.18,780.0,16.0,12.0
169,40.6663,-73.9402,"(40.7829, -73.9654)",200.0,14.49,3540.0,51.0,40.0,14.49,3540.0,52.0,42.0
170,40.7406,-73.9822,"(40.7829, -73.9654)",200.0,6.07,960.0,19.0,18.0,6.07,960.0,27.0,21.0
171,40.755,-73.9663,"(40.7829, -73.9654)",200.0,2.64,840.0,13.0,12.0,2.64,840.0,17.0,13.0
172,40.7621,-73.9956,"(40.7829, -73.9654)",200.0,3.19,720.0,13.0,12.0,3.19,720.0,18.0,14.0
173,40.7469,-73.9803,"(40.7829, -73.9654)",200.0,3.15,1080.0,15.0,14.0,3.15,1080.0,20.0,16.0
174,40.7111,-73.8272,"(40.7829, -73.9654)",200.0,14.51,2580.0,53.0,42.0,14.51,2580.0,60.0,48.0
175,40.7182,-74.0148,"(40.7829, -73.9654)",200.0,6.45,1680.0,24.0,23.0,6.45,1680.0,34.0,27.0
176,40.8217,-73.9486,"(40.7829, -73.9654)",200.0,3.11,840.0,11.0,7.0,3.11,840.0,18.0,14.0
177,40.7265,-73.9835,"(40.7829, -73.9654)",200.0,6.5,1560.0,24.0,23.0,6.5,1560.0,33.0,26.0
178,40.7441,-73.8792,"(40.7829, -73.9654)",200.0,7.5,2160.0,27.0,20.0,7.5,2160.0,32.0,25.0
179,40.7689,-73.9681,"(40.7829, -73.9654)",200.0,1.68,540.0,9.0,8.0,1.68,540.0,12.0,9.0
180,40.7032,-73.9914,"(40.7829, -73.9654)",200.0,10.42,1980.0,30.0,23.0,10.42,1980.0,38.0,31.0
181,40.7787,-73.9751,"(40.7829, -73.9654)",200.0,1.21,420.0,10.0,8.0,1.21,420.0,9.0,6.0
182,40.7265,-73.9851,"(40.7829, -73.9654)",200.0,6.45,1560.0,23.0,22.0,6.45,1560.0,32.0,25.0
183,40.7491,-73.9789,"(40.7829, -73.9654)",200.0,3.15,1320.0,16.0,15.0,3.15,1320.0,24.0,19.0
184,40.7793,-73.9496,"(40.7829, -73.9654)",200.0,1.08,480.0,10.0,8.0,1.08,480.0,9.0,7.0
185,40.7726,-73.926,"(40.7829, -73.9654)",200.0,5.54,1560.0,26.0,19.0,5.54,1560.0,32.0,25.0
186,40.7462,-73.9757,"(40.7829, -73.9654)",200.0,3.61,1080.0,16.0,15.0,3.61,1080.0,22.0,17.0
187,40.7346,-74.0018,"(40.7829, -73.9654)",200.0,5.89,1620.0,23.0,22.0,5.89,1620.0,32.0,25.0
188,40.7062,-74.0099,"(40.7829, -73.9654)",200.0,9.05,1800.0,29.0,28.0,9.05,1800.0,39.0,31.0
189,40.7704,-73.9566,"(40.7829, -73.9654)",200.0,1.36,480.0,10.0,8.0,1.36,480.0,9.0,7.0
190,40.7616,-73.9643,"(40.7829, -73.9654)",200.0,2.05,600.0,10.0,9.0,2.05,600.0,14.0,10.0
191,40.755,-73.9636,"(40.7829, -73.9654)",200.0,2.66,780.0,12.0,11.0,2.66,780.0,16.0,12.0
192,40.7588,-73.9907,"(40.7829, -73.9654)",200.0,3.61,960.0,15.0,14.0,3.61,960.0,21.0,16.0
193,40.6911,-73.9822,"(40.7829, -73.9654)",200.0,10.94,2520.0,32.0,24.0,10.94,2520.0,41.0,33.0
194,40.7417,-73.9806,"(40.7829, -73.9654)",200.0,6.12,1140.0,20.0,19.0,6.12,1140.0,28.0,22.0
195,40.7603,-73.995,"(40.7829, -73.9654)",200.0,3.37,900.0,14.0,13.0,3.37,900.0,20.0,15.0
196,40.7658,-73.9781,"(40.7829, -73.9654)",200.0,2.14,600.0,10.0,9.0,2.14,600.0,14.0,10.0
197,40.8342,-73.9427,"(40.7829, -73.9654)",200.0,4.79,1020.0,13.0,9.0,4.79,1020.0,21.0,16.0
198,40.7604,-73.987,"(40.7829, -73.9654)",200.0,2.26,600.0,11.0,10.0,2.26,600.0,15.0,11.0
199,40.746,-73.9754,"(40.7829, -73.9654)",200.0,3.59,1080.0,16.0,15.0,3.59,1080.0,22.0,17.0
200,40.7771,-73.9496,"(40.7829, -73.9654)",200.0,1.01,360.0,10.0,8.0,1.01,360.0,9.0,7.0
201,40.7412,-73.9772,"(40.7829, -73.9654)",200.0,6.12,1020.0,20.0,19.0,6.12,1020.0,27.0,21.0
202,40.6577,-73.9055,"(40.7829, -73.9654)",200.0,20.96,3540.0,54.0,42.0,20.96,3540.0,74.0,60.0
203,40.7637,-73.9846,"(40.7829, -73.9654)",200.0,1.97,540.0,10.0,9.0,1.97,540.0,14.0,10.0
204,40.7095,-74.0094,"(40.7829, -73.9654)",200.0,7.11,2040.0,27.0,26.0,7.11,2040.0,37.0,29.0
205,40.7425,-73.9926,"(40.7829, -73.9654)",200.0,5.09,1020.0,18.0,17.0,5.09,1020.0,25.0,19.0
206,40.7088,-74.0143,"(40.7829, -73.9654)",200.0,10.18,1920.0,32.0,31.0,10.18,1920.0,41.0,32.0
207,40.7722,-73.9606,"(40.7829, -73.9654)",200.0,1.12,360.0,10.0,8.0,1.12,360.0,9.0,7.0
208,40.7489,-73.9765,"(40.7829, -73.9654)",200.0,3.01,1380.0,16.0,15.0,3.01,1380.0,24.0,19.0
209,40.7274,-73.9882,"(40.7829, -73.9654)",200.0,6.57,1500.0,23.0,22.0,6.57,1500.0,34.0,27.0
210,40.7512,-74.0026,"(40.7829, -73.9654)",200.0,5.43,1020.0,18.0,18.0,5.43,1020.0,26.0,20.0
211,40.7593,-73.9962,"(40.7829, -73.9654)",200.0,4.63,900.0,17.0,16.0,4.63,900.0,23.0,18.0
212,40.753,-73.9959,"(40.7829, -73.9654)",200.0,5.1,1020.0,18.0,17.0,5.1,1020.0,25.0,19.0
213,40.8008,-73.9611,"(40.7829, -73.9654)",200.0,1.61,480.0,9.0,8.0,1.61,480.0,11.0,8.0
214,40.7221,-73.9837,"(40.7829, -73.9654)",200.0,7.45,1620.0,25.0,24.0,7.45,1620.0,35.0,28.0
215,40.731,-73.9876,"(40.7829, -73.9654)",200.0,6.55,1500.0,23.0,22.0,6.55,1500.0,32.0,26.0
