lat,lng,avg_yelp_review
40.7331,-74.0055,4.6
40.7405,-73.9767,4.45
40.7449,-73.9812,4.45
40.7775,-73.9483,4.4
40.7974,-73.9706,4.05
40.7518,-73.9849,4.25
40.727,-74.0308,3.7
40.7421,-73.9788,4.5
40.7603,-73.961,4.3
40.7752,-73.9887,4.15
40.7081,-74.0065,4.3
40.759,-73.9621,4.3
40.71,-74.0143,4.4
40.7333,-73.9796,4.3
40.7894,-73.9764,4.25
40.7865,-73.9744,4.25
40.7481,-73.9564,4.4
40.7033,-73.92,4.55
40.7238,-73.9902,4.55
40.7047,-74.0076,4.3
40.7466,-73.9779,4.4
40.7838,-73.9535,4.4
40.7705,-73.9485,4.3
40.7706,-73.9501,4.4
40.8441,-73.9406,4.4
40.7568,-73.9982,4.35
40.8071,-73.9552,4.35
40.7749,-73.9782,4.15
40.6461,-73.9617,4.15
40.7318,-73.9864,4.55
40.6774,-73.9583,4.55
40.7628,-73.9849,4.3
40.6621,-73.9793,4.2
40.7247,-73.9935,4.4
40.8233,-73.9532,4.3
40.7343,-74.0094,4.5
40.7632,-73.9907,4.5
40.745,-73.9863,4.35
40.7705,-73.9485,4.3
40.6493,-73.974,4.35
40.7729,-73.9485,4.35
40.7625,-73.9864,4.4
40.8222,-73.94,4.3
40.7586,-73.9838,4.4
40.8246,-73.9508,4.3
40.7805,-73.9464,4.45
40.7974,-73.9708,4.05
40.8021,-73.9392,4.45
40.6898,-73.9797,4.2
40.7334,-74.0047,4.55
40.7735,-73.9064,4.4
40.7771,-73.9515,4.5
40.7601,-73.99,4.45
40.7863,-73.971,4.25
40.7767,-73.9456,4.4
40.7669,-73.9344,3.95
40.7338,-74.0009,4.55
40.7494,-73.8801,4.35
40.8419,-73.9377,4.45
40.7321,-74.008,4.5
40.779,-73.9461,4.45
40.7292,-73.986,4.55
40.7381,-73.992,4.4
40.7369,-73.8633,4.35
40.7222,-73.9464,4.55
40.7316,-73.9838,4.55
40.7559,-73.9658,4.3
40.7549,-73.969,4.3
40.7198,-73.9991,4.25
40.7446,-73.974,4.35
40.7826,-73.9509,4.45
40.7238,-73.9902,4.55
40.7854,-73.9752,4.3
40.6736,-73.9659,4.4
40.8063,-73.9157,4.25
40.7538,-73.974,4.35
40.7792,-73.9514,4.4
40.7621,-73.9638,4.3
40.7785,-73.9759,4.15
40.6906,-73.9827,4.3
40.764,-73.9799,4.5
40.7582,-73.9622,4.25
40.7348,-73.9865,4.3
40.7409,-73.9812,4.45
40.7606,-73.9963,4.55
40.7775,-73.9536,4.45
40.7616,-73.9936,4.5
40.7487,-73.9901,4.3
40.8365,-73.9441,4.3
40.7993,-73.9625,4.25
40.7635,-73.9799,4.5
40.7528,-73.9709,4.3
40.7087,-73.955,4.6
40.7885,-73.9749,4.25
40.6882,-73.9615,4.5
40.7568,-73.9982,4.35
40.7756,-73.9846,4.15
40.7416,-73.9216,4.5
40.7562,-73.9964,4.5
40.8064,-73.9181,4.3
40.7295,-73.9893,4.45
40.7619,-73.9854,4.25
40.7373,-74.0042,4.6
40.7447,-73.9774,4.4
40.7606,-73.9994,4.25
40.7084,-74.0008,4.25
40.6629,-73.9846,4.3
40.7716,-73.9812,4.25
40.7165,-73.9505,4.65
40.771,-73.9533,4.4
40.7725,-73.9819,4.2
40.7239,-73.9798,4.65
40.7787,-73.909,4.3
40.8309,-73.9486,4.4
40.7579,-73.9129,4.5
40.7284,-73.9992,4.35
40.7655,-73.9817,4.45
40.7439,-73.9971,4.3
40.7719,-73.9861,4.2
40.7847,-74.0059,4.25
40.708,-74.0149,4.45
40.7301,-73.9927,4.45
40.7233,-73.9946,4.45
40.7602,-73.9689,4.4
40.7454,-73.9845,4.35
40.7681,-73.9563,4.4
40.7678,-73.9915,4.4
40.7401,-73.9887,4.3
40.7327,-73.9931,4.4
40.7396,-74.0035,4.6
40.6907,-73.9216,4.4
40.86,-73.9052,4.15
40.7972,-73.9488,4.35
40.8539,-73.9318,4.25
40.7699,-73.9488,4.3
40.7624,-73.9964,4.45
40.7404,-73.929,4.0
40.6927,-73.986,4.35
40.7351,-73.978,4.2
40.7365,-73.8676,4.2
40.7988,-73.9694,4.1
40.753,-73.9958,4.45
40.7864,-73.9421,4.3
40.7383,-74.0006,4.6
40.7617,-73.9617,4.35
40.7297,-74.004,4.55
40.7717,-73.9518,4.35
40.7957,-73.9705,4.05
40.7401,-73.9822,4.5
40.7061,-74.0111,4.4
40.8713,-73.9148,4.2
40.8266,-73.9398,4.35
40.7803,-73.9466,4.45
40.6661,-73.9882,4.45
40.7035,-74.0109,4.3
40.7437,-73.9851,4.45
40.7454,-73.9776,4.4
40.7192,-73.9828,4.6
40.7067,-74.0101,4.35
40.7779,-73.9515,4.5
40.7658,-73.9171,4.55
40.7638,-73.9941,4.45
40.8025,-73.9587,4.25
40.753,-73.9695,4.25
40.7723,-73.9587,4.35
40.7231,-74.0044,4.3
40.7213,-73.9952,4.35
40.8247,-73.949,4.35
40.7105,-73.9532,4.6
40.8013,-73.9606,4.3
40.7104,-73.9486,4.6
40.7079,-74.0099,4.35
40.795,-73.9708,4.1
40.7748,-73.9551,4.35
40.731,-73.9831,4.55
40.7412,-73.9772,4.5
40.7669,-73.9621,4.45
40.7443,-73.9805,4.5
40.7463,-73.9773,4.4
40.7299,-73.9826,4.55
40.728,-73.9832,4.6
40.7676,-73.9601,4.45
40.7548,-73.9944,4.55
40.6455,-73.961,4.25
40.7482,-74.0051,4.55
40.7775,-73.9835,4.05
40.7743,-73.9874,4.25
40.7691,-73.9857,4.35
40.7652,-73.9897,4.5
40.7283,-73.9875,4.65
40.743,-73.9805,4.5
40.7989,-73.9535,4.35
40.7739,-73.9529,4.5
40.6692,-73.9503,4.35
40.7039,-73.9425,4.5
40.7593,-73.9959,4.55
40.7537,-73.9682,4.3
40.7376,-73.9738,4.0
40.7061,-74.0111,4.4
40.7331,-73.9972,4.5
40.7587,-73.9838,4.4
40.708,-74.0149,4.45
40.8404,-73.9375,4.25
40.844,-73.9414,4.4
40.7678,-73.9869,4.3
40.7295,-74.0029,4.5
40.709,-74.0169,4.45
40.7436,-73.9727,4.4
40.694,-73.9828,4.3
40.748,-73.981,4.4
40.7324,-73.9875,4.6
40.7177,-73.9907,4.5
40.7806,-73.947,4.4
40.7742,-73.9475,4.45
40.7487,-73.9425,4.3
40.8152,-73.9473,4.25
40.7786,-73.9478,4.35
40.7535,-73.9742,4.3
40.7559,-73.9649,4.3
40.7324,-73.9875,4.6
40.8342,-73.9427,4.3
40.778,-73.9489,4.35
40.7688,-73.9547,4.45
40.6729,-73.9822,4.4
40.7565,-73.9973,4.45
40.7203,-73.9549,4.5
40.7562,-73.9968,4.45
40.6828,-73.9525,4.5
40.7369,-73.979,4.45
40.8242,-73.9527,4.25
40.7835,-73.9827,4.1
40.8226,-73.9527,4.25
40.7803,-73.9496,4.4
40.7074,-74.0069,4.35
40.7612,-73.9978,4.4
40.8221,-73.9538,4.2
40.7787,-73.9453,4.4
40.7695,-73.9603,4.4
40.6814,-73.9485,4.45
40.8441,-73.8292,4.15
40.7716,-73.9506,4.4
40.7988,-73.9356,4.55
40.7404,-73.9795,4.5
40.7466,-73.9788,4.45
40.7716,-73.9506,4.4
40.724,-73.9828,4.6
40.7963,-73.9625,4.25
40.6769,-73.9249,3.95
40.7571,-73.9673,4.3
40.6853,-73.913,4.3
40.7505,-74.0022,4.35
40.7225,-73.9925,4.45
40.7902,-73.9678,4.1
40.7998,-73.9609,4.25
40.7815,-73.9528,4.4
40.6889,-73.9576,4.55
40.7711,-73.9564,4.35
40.7391,-73.9964,4.4
40.6258,-73.9415,4.1
40.7423,-73.981,4.45
40.6754,-73.9182,4.4
40.7609,-73.986,4.35
40.7611,-73.9989,4.25
40.8163,-73.9416,4.3
40.7118,-73.8258,4.4
40.7075,-74.0043,4.35
40.7704,-73.9566,4.3
40.7637,-73.9635,4.35
40.7111,-74.0055,4.4
40.7334,-74.0047,4.55
40.7277,-73.9833,4.6
40.7817,-73.9824,4.1
40.73,-73.9804,4.55
40.7592,-73.9948,4.55
40.7473,-73.9736,4.3
40.7239,-73.9947,4.4
40.6913,-73.9825,4.15
40.7984,-73.9682,4.2
40.7718,-73.9829,4.3
40.7547,-73.981,4.2
40.7834,-73.9834,4.0
40.7596,-73.9926,4.55
40.8676,-73.8952,4.15
40.6963,-73.9239,4.55
40.7481,-73.9771,4.45
40.7283,-73.9875,4.65
40.7553,-73.9955,4.55
40.7177,-73.9984,4.35
40.6402,-73.9567,3.95
40.8514,-73.9347,4.45
40.7568,-73.9982,4.35
40.7072,-73.967,4.4
40.7783,-73.9804,4.15
40.8087,-73.9598,4.25
40.7747,-73.9506,4.5
40.706,-74.0086,4.3
40.7923,-73.9771,4.2
40.7286,-73.8487,4.05
40.7739,-73.9528,4.45
40.7067,-74.0072,4.3
40.7688,-73.9576,4.4
40.7606,-73.9963,4.55
40.7802,-73.9444,4.45
40.7067,-74.0101,4.35
40.7297,-73.9794,4.6
40.7796,-73.9528,4.4
40.7613,-73.9998,4.25
40.6764,-73.9578,4.55
40.7367,-74.0014,4.55
40.7255,-73.9798,4.65
40.7296,-73.9999,4.45
40.7376,-73.9938,4.5
40.7998,-73.9596,4.25
40.7959,-73.9742,4.15
40.7379,-73.9728,3.95
40.7773,-73.9478,4.4
40.764,-73.9819,4.5
40.7749,-73.9532,4.5
40.7447,-73.9782,4.45
40.7074,-74.0122,4.4
40.7436,-73.9727,4.4
40.7456,-73.9797,4.45
40.7344,-74.001,4.6
40.7465,-73.9767,4.45
40.7401,-73.9887,4.3
40.7766,-73.9452,4.45
40.7272,-73.9801,4.65
40.7634,-73.9638,4.35
40.7401,-73.9815,4.45
40.7461,-73.9776,4.4
40.6821,-73.9801,4.4
40.661,-73.9812,4.3
40.7657,-73.8194,4.25
40.841,-73.952,4.0
40.8276,-73.9413,4.35
40.7286,-73.9849,4.6
40.6978,-73.9838,4.25
40.7441,-73.9964,4.25
40.7239,-73.9901,4.55
40.6775,-73.9507,4.35
40.7673,-73.968,4.35
40.7866,-73.9731,4.25
40.7622,-73.9495,3.8
40.7448,-73.9784,4.45
40.7059,-73.8928,4.2
40.7074,-74.0076,4.3
40.7696,-73.9567,4.35
40.7297,-73.9999,4.45
40.73,-73.9864,4.5
40.7128,-74.0059,4.4
40.7354,-74.0056,4.65
40.7506,-73.9713,4.3
40.7152,-73.9564,4.5
40.737,-73.9803,4.4
40.7382,-73.9918,4.4
40.7506,-73.9979,4.2
40.7768,-73.9457,4.45
40.7461,-73.9757,4.45
40.7327,-73.9933,4.4
40.7194,-73.9964,4.35
40.7254,-73.9873,4.65
40.6923,-73.905,4.5
40.7316,-73.9839,4.55
40.7705,-73.9503,4.4
40.7758,-73.9566,4.3
40.7467,-73.9778,4.4
40.7056,-74.0162,4.55
40.7967,-73.9485,4.3
40.7801,-73.9544,4.35
40.7442,-73.8925,4.3
40.8618,-73.9268,4.4
40.7233,-73.9915,4.55
40.7702,-73.964,4.3
40.7522,-74.0042,4.35
40.8021,-73.945,4.35
40.7765,-73.9571,4.3
40.7643,-73.9905,4.5
40.7701,-73.955,4.35
40.7423,-73.9995,4.45
40.7595,-73.9887,4.45
40.7456,-73.9797,4.45
40.7468,-73.9903,4.35
40.7518,-73.9944,4.25
40.8035,-73.9663,4.25
40.887,-73.9088,4.2
40.7279,-73.9829,4.6
40.7637,-73.9937,4.45
40.7243,-74.0103,4.5
40.7364,-73.9809,4.4
40.7638,-73.994,4.45
40.7605,-73.9678,4.35
40.7845,-73.9503,4.45
40.7327,-73.8638,4.2
40.7105,-74.0134,4.4
40.7599,-73.9908,4.5
40.7647,-73.9826,4.5
40.7536,-73.9739,4.35
40.7265,-73.9851,4.6
40.7567,-73.9676,4.3
40.7266,-74.0013,4.4
40.7285,-73.861,4.15
40.7878,-73.9799,4.15
40.7298,-73.9817,4.55
40.8206,-73.9456,4.4
40.7512,-74.0026,4.35
40.7413,-73.9781,4.5
40.7205,-73.9793,4.65
40.7356,-73.9789,4.35
40.7587,-73.9916,4.55
40.7802,-73.9478,4.4
40.7769,-73.9459,4.5
40.758,-73.9543,3.9
40.7481,-73.9564,4.4
40.7109,-74.0165,4.45
40.7643,-73.9918,4.5
40.7228,-73.9846,4.6
40.7832,-73.9482,4.45
40.7723,-73.9533,4.4
40.8023,-73.9617,4.25
40.7635,-73.9848,4.3
40.7215,-73.9566,4.45
40.7494,-73.9875,4.25
40.7811,-73.9482,4.4
40.7478,-74.0008,4.5
40.7654,-73.9899,4.5
40.726,-73.9784,4.6
40.7984,-73.9632,4.25
40.7571,-73.9647,4.25
40.7596,-73.99,4.45
40.7692,-73.9596,4.4
40.7162,-74.0095,4.35
40.65,-73.9642,4.2
40.7295,-74.0008,4.45
40.7405,-74.0007,4.6
40.7399,-73.9864,4.4
40.7962,-73.9461,4.35
40.7792,-73.9492,4.4
40.7518,-73.9398,4.3
40.7545,-73.9976,4.4
40.7829,-73.973,4.25
40.7399,-73.9864,4.4
40.7827,-73.9461,4.5
40.7611,-73.9877,4.45
40.7129,-73.9896,4.5
40.7778,-73.9119,4.4
40.7679,-73.9546,4.4
40.7322,-73.9876,4.6
40.7939,-73.9737,4.25
40.7534,-73.9713,4.3
40.7709,-73.9917,4.2
40.7947,-73.9401,4.55
40.6805,-73.9624,4.4
40.776,-73.9556,4.4
40.776,-73.9556,4.4
40.6867,-73.957,4.45
40.7694,-73.9185,4.55
40.7258,-73.9798,4.65
40.8006,-73.9377,4.5
40.7721,-73.9479,4.4
40.7723,-73.953,4.4
40.7816,-73.9822,4.1
40.7218,-73.8559,4.1
40.7297,-73.9832,4.6
40.7787,-73.9836,4.1
40.7586,-73.9838,4.4
40.7263,-73.9847,4.6
40.7573,-73.968,4.4
40.7791,-73.9448,4.45
40.7756,-73.9846,4.15
40.6005,-73.9955,4.2
40.7937,-73.9761,4.25
40.8544,-73.9307,4.2
40.701,-73.9183,4.5
40.8004,-73.9405,4.4
40.6907,-73.9216,4.4
40.704,-74.0078,4.3
40.7121,-74.0086,4.45
40.791,-73.9716,4.2
40.8417,-73.9359,4.3
40.7754,-73.9502,4.5
40.7055,-74.0102,4.4
40.6531,-73.9504,4.05
40.7133,-73.94,4.65
40.7613,-73.9998,4.25
40.7089,-74.0145,4.4
40.8224,-73.9435,4.4
40.7655,-73.9618,4.4
40.7382,-74.0006,4.6
40.7074,-74.0069,4.35
40.7679,-73.9241,4.6
40.7276,-74.0002,4.45
40.7766,-73.9449,4.45
40.7656,-73.9857,4.45
40.7667,-73.9559,4.4
40.8676,-73.892,4.15
40.7677,-73.9929,4.4
40.6778,-73.9592,4.5
40.8067,-73.9527,4.35
40.7062,-74.0099,4.3
40.7856,-73.9763,4.3
40.7015,-73.904,4.5
40.7084,-74.0151,4.45
40.7137,-74.0097,4.4
40.79,-73.9418,4.5
40.7283,-73.9839,4.6
40.7299,-73.9826,4.55
40.7352,-73.9955,4.45
40.7443,-73.9912,4.35
40.7348,-73.9817,4.3
40.7056,-74.0139,4.4
40.7344,-73.9823,4.3
40.7761,-73.9541,4.45
40.7084,-74.0057,4.35
40.7656,-73.9886,4.5
40.7549,-73.969,4.3
40.7317,-73.9821,4.4
40.7254,-73.9879,4.65
40.7077,-74.0166,4.45
40.7215,-73.9931,4.4
40.7521,-73.9689,4.25
40.7257,-74.0028,4.35
40.8008,-73.965,4.25
40.7968,-73.9486,4.3
40.8479,-73.942,4.35
40.7752,-73.952,4.5
40.8713,-73.9148,4.2
40.7575,-73.9626,4.3
40.7318,-73.9875,4.6
40.716,-74.0148,4.25
40.7571,-73.9647,4.25
40.7399,-74.0036,4.6
40.7672,-73.968,4.35
40.7926,-73.968,4.15
40.6347,-73.9869,4.4
40.6876,-73.998,4.2
40.7329,-74.0075,4.55
40.678,-73.9909,4.35
40.645,-73.9794,4.1
40.787,-73.9741,4.25
40.7268,-74.0315,3.75
40.7233,-73.8058,3.7
40.644,-73.9749,4.35
40.8231,-73.9539,4.2
40.6717,-73.955,4.6
40.7458,-74.0021,4.6
40.7631,-73.9581,4.4
40.7773,-73.9469,4.45
40.7585,-73.9618,4.2
40.8454,-73.939,4.4
40.7928,-73.9659,4.1
40.7633,-73.9932,4.5
40.7744,-73.9789,4.15
40.7071,-74.0094,4.3
40.7728,-73.9502,4.4
40.771,-73.9505,4.4
40.6938,-73.9925,4.45
40.7388,-74.0019,4.6
40.7448,-73.9253,4.45
40.7645,-73.984,4.45
40.7872,-73.9758,4.25
40.72,-73.9959,4.35
40.7057,-73.9146,4.45
40.7269,-73.9786,4.6
40.7327,-73.8638,4.2
40.77,-73.9838,4.3
40.7568,-73.9935,4.55
40.7704,-73.9566,4.3
40.7787,-73.9826,4.1
40.7295,-73.9773,4.3
40.7207,-73.9856,4.6
40.7743,-73.9789,4.15
40.7804,-73.9794,4.15
40.7235,-74.0032,4.25
40.7727,-73.9592,4.35
40.7297,-73.9753,4.45
40.7314,-73.9864,4.5
40.7276,-74.0001,4.45
40.796,-73.9742,4.1
40.7701,-73.9838,4.35
40.723,-73.9829,4.6
40.7358,-73.9859,4.35
40.7336,-73.9923,4.35
40.7237,-73.9416,4.3
40.7077,-74.0097,4.35
40.777,-73.9886,3.85
40.724,-73.9839,4.6
40.761,-74.0002,4.2
40.7639,-73.981,4.5
40.7928,-73.9737,4.25
40.7291,-73.9895,4.5
40.7611,-73.9989,4.25
40.723,-73.983,4.6
40.7468,-73.9735,4.3
40.6886,-73.9915,4.3
40.7656,-73.9885,4.5
40.8198,-73.9578,4.0
40.7278,-73.9999,4.45
40.708,-74.0149,4.45
40.8476,-73.9325,4.0
40.7452,-73.918,4.6
40.7793,-73.9528,4.4
40.7378,-74.0084,4.65
40.7553,-73.9678,4.3
40.7482,-73.9786,4.5
40.7601,-73.9901,4.45
40.7454,-73.9776,4.4
40.7733,-73.9814,4.2
40.7449,-73.9569,4.4
40.708,-74.002,4.2
40.7299,-73.9819,4.55
40.7219,-73.9919,4.5
40.7535,-73.9648,4.2
40.8493,-73.9361,4.45
40.7711,-73.9113,4.35
40.7692,-73.9525,4.4
40.7645,-73.984,4.45
40.7479,-74.0031,4.55
40.7456,-74.0053,4.6
40.797,-73.9362,4.55
40.7281,-73.9868,4.6
40.7478,-73.9758,4.5
40.7618,-73.9497,3.9
40.7751,-73.9481,4.4
40.7645,-73.9833,4.45
40.721,-73.9885,4.55
40.7723,-73.9542,4.35
40.7677,-73.9616,4.45
40.7227,-73.9836,4.6
40.7319,-73.9817,4.45
40.7843,-73.9503,4.45
40.7677,-73.9916,4.4
40.69,-73.9919,4.35
40.715,-73.9917,4.5
40.6808,-73.9374,4.3
40.767,-73.9841,4.35
40.762,-73.9636,4.3
40.7334,-74.0047,4.55
40.7237,-74.0049,4.3
40.7833,-73.9511,4.5
40.7998,-73.9686,4.2
40.8144,-73.9367,3.9
40.7614,-73.9824,4.3
40.7207,-73.9801,4.65
40.78,-73.949,4.4
40.8254,-73.9525,4.3
40.7673,-73.9866,4.4
40.8466,-73.9348,4.4
40.7633,-73.9849,4.3
40.7226,-73.9949,4.45
40.7703,-73.9635,4.3
40.7459,-73.9564,4.4
40.7397,-73.9817,4.45
40.7548,-73.9944,4.55
40.7554,-73.9867,4.35
40.7431,-73.9792,4.5
40.8325,-73.9436,4.4
40.7359,-73.8545,4.4
40.7084,-74.0066,4.3
40.7641,-73.9079,4.35
40.776,-73.9839,4.05
40.7288,-74.003,4.45
40.7797,-73.9476,4.4
40.7808,-73.9168,4.5
40.8587,-73.9303,4.4
40.7617,-73.9931,4.5
40.7701,-73.9067,4.4
40.761,-73.9992,4.25
40.7331,-74.0059,4.55
40.7417,-73.9818,4.45
40.7767,-73.9504,4.5
40.7228,-74.0005,4.15
40.7735,-73.9508,4.45
40.7528,-74.0032,4.45
40.7304,-73.9829,4.55
40.7318,-74.0,4.55
40.7615,-73.9662,4.3
40.7705,-73.95,4.4
40.7437,-73.9585,4.45
40.7075,-74.0123,4.45
40.7804,-73.9462,4.45
40.7663,-73.9784,4.45
40.8549,-73.9312,4.25
40.6602,-73.9851,4.3
40.7593,-73.9962,4.55
40.7069,-74.0103,4.4
40.8328,-73.9433,4.35
40.7898,-73.9744,4.25
40.8362,-73.9459,4.25
40.771,-73.9505,4.4
40.7078,-74.0138,4.4
40.7191,-74.0109,4.35
40.8333,-73.9445,4.35
40.7967,-73.9623,4.25
40.7385,-73.8788,4.2
40.8821,-73.8986,4.25
40.7596,-73.9891,4.45
40.7695,-73.9561,4.4
40.7389,-73.9818,4.45
40.7604,-73.9955,4.55
40.7445,-74.0,4.55
